,장소,트립어드바이저,구글맵리뷰,트립닷컴,총개수
0,해동용궁사,754,930,240,1924
1,감천문화마을,725,930,426,2081
2,흰여울문화마을,5,930,8,943
3,부산민주공원,16,930,0,946
4,민락수변공원,48,930,0,978
5,부산스포원,0,11,0,11
6,부산시민공원,57,930,0,987
7,이기대수변공원,109,52,0,161
8,비프광장,332,0,191,523
9,다대포 꿈의 낙조분수,0,930,50,980
10,광안리해수욕장,401,693,251,1345
11,해물포장마차촌,0,930,0,930
12,해운대해수욕장,1145,930,496,2571
13,송상현광장,0,930,0,930
14,용두산공원,234,930,427,1591
15,용소웰빙공원,0,352,0,352
16,암남공원,34,487,27,548
17,사상근린공원,3,821,0,824
18,UN기념공원,157,148,83,388
19,APEC나루공원,104,930,10,1044
20,장림포구,4,323,0,327
21,죽성성당,3,53,26,82
22,누리마루 APEC 하우스,73,930,154,1157
23,다대포해수욕장,64,199,19,282
24,창선동 먹자골목,0,183,0,183
25,신평소공원,0,930,0,930
26,태종대,412,930,436,1778
27,죽도공원,0,930,0,930
28,청사포,8,930,23,961
29,온천천시민공원,8,930,16,954
30,삼락생태공원,6,930,0,936
31,대변항,0,106,0,106
32,오륙도해맞이공원,0,770,0,770
33,강서체육공원,0,478,0,478
34,깡깡이예술마을,0,247,0,247
35,부산송도해수욕장,107,234,107,448
36,신호공원,0,201,0,201
37,우암동도시숲,0,254,0,254
38,대천공원,0,930,0,930
39,화명장미마을,0,830,0,830
40,범어사,246,930,152,1328
41,수영사적공원,0,424,0,424
42,일광해수욕장,0,727,7,734
43,삼락강변체육공원,9,303,0,312
44,금강공원,40,350,55,445
45,에덴공원,0,100,0,100
46,장안사,3,270,0,273
47,대저생태공원,0,930,0,930
48,신세계백화점 센텀시티,145,930,25,1100
49,맥도생태공원,2,930,0,932
50,백양산,0,178,0,178
51,168계단,3,930,14,947
52,부산영화의거리,0,930,0,930
53,롯데월드 어드벤처 부산,0,517,0,517
54,아미산전망대,6,930,0,936
55,강서낙동강변30리벚꽃길,0,123,0,123
56,팥빙수골목,0,128,0,128
57,구덕문화공원,0,231,0,231
58,부산아쿠아리움,221,930,392,1543
59,부산올림픽공원,1,315,0,316
60,사라수변공원,0,200,0,200
61,동백섬,293,202,144,639
62,영도대교,48,523,0,571
63,오륙도,58,138,124,320
64,오륙도 스카이워크,162,930,0,1092
65,아홉산숲,4,930,0,934
66,자갈치시장,346,930,0,1276
67,송도해상케이블카,31,930,11,972
68,절영해안산책로,0,930,48,978
69,황령산,25,66,32,123
70,더베이101,66,930,20,1016
71,부산국제시장,125,930,84,1139
72,국립부산과학관,2,930,10,942
73,40계단 문화관광테마거리,37,930,38,1005
74,부산광안대교,486,565,331,1382
75,부산 장산,23,55,7,85
76,동래읍성지,0,378,0,378
77,부평깡통시장,41,690,0,731
78,국립해양박물관,35,930,38,1003
79,화명생태공원,2,857,0,859
80,영도 등대,5,930,0,935
81,초량 이바구길,26,36,4,66
82,허심청,34,19,30,83
83,금정산성,44,930,8,982
84,부산현대미술관,9,930,11,950
