리뷰,평점
수변공원에서 돗자리깔고 회먹으니까 분위기 좋았어요! 사람이 많아수 조금 힘들었지만 즐거운 경험이었어요!! 너무 더울때는 못갈꺼같지만ㅠㅠ 가을에 또 가고싶네요,4.0
"겨울에도 일단 사람이 적진 않고
그 유명한 민락횟집 뷰를 볼 수 있음
겨울에는 호객행위도 심하지 않음
모래 밟으러 가시는거면 추천드려요",4.0
광안리해수욕장의 모래해변 끝까지 간 다음에 민락수변도로를 따라서 걷다보면 바닷가에 계단식 스탠드가 길게 설치되어 있는 민락수변 공원에 도착합니다. 바로 앞에는 광안대교와 해운대 마린시티의 고층건물이 반겨줍니다. 인근 회센터에서 생선회 한접시 시켜서 먹는다면 시원한 바닷바람 탓에 한층 더 맛있게 드실 수 있습니다.,4.0
바다보면서 회랑 술한잔 하는 분위기는 좋았으나 다들 지적하듯 쓰레기 처리를 제대로 안하는 사람들이 너무 많음.고쳐지면 더 좋은 곳이 될 듯 합니다.,4.0
"겨울에 가도 참 좋은 곳입니다.
여름에 가끔씩 친구들이랑 들르는데
회를 떠서 맛있게 먹는 사람들이 많습니다
운치가 좋아요",5.0
낮이나 밤에 다 가기 좋지만 저녁에 가는게 시원하고 좋아요. 돗자리 가져가서 회떠서 먹고 멋진뷰 보며 술한잔하기 좋아요. 단 쓰레기 뒷정리가 잘안되고 냄새 날때가 있어요,3.0
주변 회센터에서 회를 포장해온 사람들이 몰려 술 한 잔 하는 곳입니다. 사람이 많아 복잡하고 마땅한 자리잡기도 쉽지 않았습니다. 바다 짠내가 풍겨와 별로였습니다.,3.0
근처에 살아서 산책하러 자주 가는데 광안대교도 잘 보이고 뷰는 좋긴한데 야외에서 술마시는 사람들 때문에 지저분하고 냄새나요~ 근처 술집들이 박스에 회랑 술을 한상으로 포장해서 파는데 이런건 법적으로 문제 없는건지 모르겠네요..야외서 술마시는게요..,1.0
광안대교 보면서 술마시기에 좋습니다. 하지만 사람 많을때는 쓰래기 냄새가 심해요 깨끗한 환경은 아닙니다,3.0
여름에 회를 사서 먹기 좋아요. 민락수변공원 근처에서 판매하는 돗자리에 앉아서 보내는 여름 저녁은 훌륭!,5.0
"민락회센터가서 회를 사오세여.. 밀치회 존맛이랍니다..
밀치회 2.5KG?에 2만원에 산기억이 나네요",5.0
