리뷰,평점
"벚꼬이 지고나면 왕겹벚꽃이 피는 시기에요.
4월중순기준입니다. 차량이 아주 복잡해요.
중앙도서관앞도 왕겹벚꽃이 정말 이뻐요.",5.0
"중앙도서관이 있어 자주 가는 곳입니다.1호선 지하철 동대신역 앞에 중구 1번 마을버스가 있어요.
이공원을 거쳐 도서관, 충무교차로까지 가는 노선이라서 남포동까지 가기도 좋습니다.
중앙도서관 책이 타도서관에 비해 많아서 정말 좋아요.
도서관 넘어서 마을버스다니는길로 한번 산책해봤어요.
클래식한 보수아파트라는 곳도 나오고 구비구비 도로길따라 걸으니 새로워요.
부산살지만 새로운 동네 산책.기분전환하기 좋아요.보수동 일대를 걸어봤어요.
보수책방골목으로 걸어서 국제시장.백화점까지 !",5.0
부산 민주공원은 영주동 산 자락에 위치하고 있습니다. 우리 선열들의 영령을 느낄 수 있는 곳이며 많은 사람들이 찾고 있습니다,5.0
"부산 겹벚꽃 명소로 알려져서 처음 가보게 되었는데 겹벚꽃이 예쁘게 펴 있어서 꽃구경하기 좋았어요.
그리고 민주공원에서 부산항, 영도쪽 풍경을 볼 수 있어 전망 보기 좋은 곳이었어요.
밤에 야경 보기도 딱 좋겠더라고요ㅎㅎ
부산 여행가서 전망 보기 좋은 곳을 찾는다면 민주공원 추천해요.",5.0
"민주항쟁기념관 내부가 꽤 잘되어있습니다~ 그당시에 쓰던 옷들, 편지 등 전시가 잘되어 있습니다~ 꼭대기층에서는 부산시내가 한눈에 다 보입니다~
산 쪽으로 산책로도 잘되어 있어~ 걸으며 명상하기에도 좋습니다",5.0
부산역에서 버스를 타고 종점에 내리면 민주공원이 보입니다. 이곳에서 보이는 부산의 경치가 멋집니다.,4.0
민주공원은 높은곳에있어서 걸어가기가 힘이들지만 올라가서보면 경치가 너무 좋습니다.밤에가면 부산항이보이는 야경이 끝내줍니다.,4.0
"관광객들은 잘 모르지만 부산의 전망을 즐길 수 있는 좋은 장소입니다.
공원입구까지 대중교통 이용이 가능하고 역에서도 교통이 잘 연결되있습니다.
충혼탑과 시립도서관까지 있고, 공원에서 바라보는 여러방면의 부산전경이
정말 멋있는 곳이라 누구에게나 추천하고 싶은 곳입니다.",5.0
계단은 많지만 올라가면 남포동 시내가 다 볼 수 있습니다. 공원 안에서 벤치가 많아 연인들끼리 데이트 하기 좋은 장소입니다.,5.0
"버스로 공원 바로 앞까지 접근할 수 있습니다. 올라가는 도중 산을 타고 굽이굽이 버스가 올라가는데, 창밖으로 보이는 풍경이 좋습니다. 부산항과 앞바다를 조망하기 좋으며, 단순히 조망 명소가 아니라 역사적인 의미가 있다는 점에서 더욱 만족스럽습니다.",5.0
"충혼탑이 멋지게 우뚝 선 민주공원입니다.
많은 홍보가 필요한 곳이라서 아쉬운 곳이에요.
민주공원까지 시내버스로 이동가능하고요.
중앙도서관.민주공원.중앙공원같이 한 부지에 있어요. 조경과니도 잘되고있어서 봄쯔음 방문한다면 꽃감상하며 산책하기 좋은곳이지요.
부산을 찾는 관광객들에게 많은 홍보를하여 이런 의미있는 장소를 보다많은 이들이 알게되길 바랍니다.",5.0
부산항을 한눈에 내려다 볼 수 있는 경치 좋은 공원입니다. 부산역에서 333번 타면 갈 수 있습니다~~~,5.0
부산하면 민주화 성지잖아요. 산책하면서 역사도 알아가니 좋았습니다. 공기도 좋아서 더욱 좋았네요,4.0
밤에 오는 것을 추천. 화려하진 않지만 부산의 야경을 다각도로 볼 수 있음. 사람이 많지 않아 조용한 곳. 버스로 방문 가능.,4.0
"한국 전쟁의 세부 사진이 많이 있습니다. 당신은 기념비에 계단을 오를 수있다, 또는, 당신은 옆의 (정말로 경편이게되는) 작은 승강기를 얻을 수있다. 기념물은 인상적이고 커다란 저 아래에서 바라보고있는 우주선을 생각 나게합니다. 정말로 특별한 기념물. 보기는 정상에서 위대합니다.",5.0
"파크 호텔은 쇼핑 지역 근처에 위치한 민주주의 부산 남포. 이는 거리에서 벗어난 사람들은 갈 곳이 필요할 때 브레이크. 경우 에 있는 조금 힘든, 길따라 권 을 한 시간 정도. 대부분 이 길에 있는 산책로 staired 에 포장 되어 있고, 근처에 있는 창샤 준강 역 또는 버스 역 남포 역에서 (186, 86) (186, 86, 190). 일단 도착하면 그 곳에 항구와 도시의 멋진 전망을 얻을 수 있는, 오래된 몇 가지의 주민들은 한국식 체스 재생, 진정 및 음영 처리 또는 언덕 산책. 이 곳은 좋은 오후.",4.0
