리뷰,평점
새해 첫날에 방문해서 그런지 절 터가 방문객들로 인산인해를 이루었습니다. 이곳은 경치가 정말 장관입니다. 개인적으로 자연 경관을 감상하는 것을 좋아하는 편이 아닌데도 불구하고 바위에 부딪히는 파도를 보며 잠시 휴식의 시간을 가질 수 있었습니다.,5.0
바다 바로 앞에 있는 흔치 않은 절입니다. 비가 오는 날이었지만 그래도 나름 풍광이 좋더군요. 맑은 날이었다면 더 좋았을 것 같습니다.,3.0
"가장 아름다운 절이라는 문구에 끌려서 방문했는데, 정말 너무 아름다운 경치에 깜짝 놀랐습니다. 카페에서 아이스커피 마시면서 보는 바다뷰도 너무 멋져요. 부산 여행에 꼭 방문해야 할 장소로 적극 추천합니다.",5.0
"평일에 가기좋은곳으로 주말에는 사람이 엄청많고
차가막혀서 가기 힘듯 곳인듯합니다
풍경은 탁트인 바다가 사진찍기좋음",5.0
"바다앞 절이라니 풍광 너무 좋고 반짝이는 바다 너무 예쁩니다. 아침 일찍 나가서 여유롭게 관광하고 나올때쯤 사람이 물밀듯이 오더군요. 관광지는 언제나 일찍 가야하나봅니다. 평생 한가지 소원은 들어준다는데 전에 갔을때 뭘 빌었는지 기억이 안나서 새로운 소원빌고 나왔네요. 택시 기본요금으로 송정 해녀의집 가서 해산물모듬과 전복죽먹고 백여미터 거리의 궁극,샌드카페까지 보는 코스 좋아요~",5.0
"불교 신자가 아니더라도 관광지 차원에서 가볼만해요. 기장쪽에 딱히 갈데가 없긴한데 산책삼아 갈만하고 바다와 가깝게 같이 있어서 특색이 있었습니다.

단지 관광객이 엄청 많더라구요.

독특힌 경험이었습니다.",5.0
"부산에 방문을 했다면 꼭 가볼만한 곳.
비가 올때는 바닥이 미끄럽기 때문에 조심해서 걸어야 한다.
규모는 크지 않지만 바닷가에 있는 절이 독특하고 자태가 너무 아름다움.
입장료는 무료이지만 주차비는 3000원.

다양한 기념품을 파는 가게들이 즐비한데 눈에 들어오는 것은 없었고 비싸다.

용궁사를 구경하고 기장 시내로 넘어가던지, 대변항으로 가서 식사를 하는 것을 추천함.",5.0
"대한민국 바닷가에 있는 최고의 절입니다.
가는길은 가파르고 경사가 있지만 죽기전에
반드시 가봐야할곳입니다.
절대 후회하지않습니다.
무료입장이지만,주차비는 3천원입니다.",5.0
부산의 명소중에 한곳인데요 이곳에서 소원을 빌면 한가지 소원을 들어준다고하네요 부산에 가시면 함 들려 소원을 빌어보시길...,5.0
바닷가에 절이 있다는 점이 독특하나 이를 빼면 평범한 절. 해안 절벽이 있어서 풍경은 좋은 편이지만 위치가 부산 외곽 기장에 있어서 상당히 교통이 불편하고 한번쯤 가볼만한 곳이다 생각함 기대하고 찾아갈 정도는 아니라고 생각한다,3.0
