리뷰,평점
"전주가면 무조건 가봐야하는곳
한옥하나하나 너무 멋지고 잘 꾸며져 있어요
그러나 길거리 음식들이 너무 난잡하게 되어있어요
간단하게 둘러보시고 사진찍기 좋아요",4.0
"젊음의 거리, 사진찍는 거리입니다. 저렴하게 빌리는 옷 덕분에 여기 저기 한복 입고 다니며 사진 찍는 사람들이 많읍니다. 옷도 예쁘고 머리 장식까지 예쁘게 잘 해주는데, 한 번쯤 해볼만 합니다. 나이 드신 분들도 여고 동창들 끼리, 모녀들도 와서 하느데 보기 좋더라구요. 길거리 음식도 저렴하고 맛있읍니다.",4.0
"한복입고 사진찍긴 좋아요
거리음식거리라서 먼가 특별하다 싶지 않아요
물론 처음가서 보기에는 좋고 골목골목돌아다니면 길이나 돌담이나 예쁘긴 해요
하지만 거리음식거리같아요. 어느순간 한옥마을은 사라지고 음식점만 남았엉ᆢㄷ",3.0
"전주여행을 생각한다면
꼭 한번 가게되는 곳이라고 생각합니다.

한옥을 보는 재미도 있지만
길거리 여러가지 음식들도
여행의 즐거움을 더해줍니다.

특히나 육전과 문어꼬치가 맛있었어요!!

그리고 한국 전통의 얼레빗을 파는 매장을
발견했는데 무형문화재 이상근목소장님이
하나 하나 만드시는 것으로
너무 아름답고 좋았습니다.

전주 마을을 가신다면 방문해보시고
선물용으로 장만하셔도 좋을거 같아요!

저도 가격이 좀 비쌌지만
마음에 드는 얼레빗을 장만했지요~>.<",4.0
"첫째날은 사람구경
둘째날은 먹거리 먹고 꽃구경 셋째날은 세세한 곳 소리관 김치 그릇구경등 볼거리가 소소하게 많아 좋았어요",5.0
"전주 한옥마을을 평일에 갔더니 한산하니 좋았어요.
길에 쓰레기 하나 없이 너무 깨끗했고 주차장도 잘 되어 있어서 구경하기에 좋았답니다.
요즘엔 한복뿐만 아니라 경성의복 대여점도 있어 경성의복 대여해서 입고 다니는 분들도 많아서 잼있었어요",3.0
"명절 긴 이동거리를 고려하여 중간 휴식지로 전주 한옥마을을 선택
명절 직전 한옥 마을 그리고 한옥 펜션을 구경하니 더욱 명절 스럽고
나름 의미있는 기분 전환의 시간을 보낼 수 있음",3.0
한옥마을 거리가 온통 가게들로 바뀌었네요. 사람이 북적거리는 건 좋은데 고즈넉한 맛은 사라져서 아쉽기만 하네요. 정체불명의 한복들도 많이 보이구요.,3.0
"오랜만에 가봤는 데, 깨끗하게 관리 되고 있는 듯 보였고, 이쁜 한복체험하는 곳도 많고 가볐게 사진찍는 곳도 있고 먹을 거도 많고, 전통 차 거리도 있고 좋았다.",5.0
전주에 내려간 여행객들이 모두 모이는 곳이다. 먹자거리가 형성되어 있어서 길을 걷다 보면 유혹하는 간식들이 많다. 고즈넉한 분위기보다는 사람들도 북적이는 활기찬 거리다. 마을 끝의 높은 지대에 오르면 보이는 한옥지붕들이 멋진 곳이다.,4.0
