,장소
0,해동용궁사
1,감천문화마을
2,흰여울문화마을
3,부산민주공원
4,민락수변공원
5,스포원파크 금정체육공원
6,이기대수변공원
7,부산시민공원
8,다대포해변공원
9,비프광장
10,다대포 꿈의 낙조분수
11,광안리해수욕장
12,해물포장마차촌
13,해운대해수욕장
14,송상현광장
15,해운대
16,용두산공원
17,용소웰빙공원
18,암남공원
19,사상근린공원
20,평화공원
21,APEC나루공원
22,장림포구
23,죽성드림세트장
24,다대포해수욕장
25,차이나타운
26,누리마루 APEC 하우스
27,창선동 먹자골목
28,신평소공원
29,태종대
30,온천천시민공원
31,죽도공원
32,청사포
33,삼락생태공원
34,대변항
35,송도용궁구름다리
36,오륙도해맞이공원
37,윗골공원
38,강서체육공원
39,깡깡이예술마을
40,부산송도해수욕장
41,신호공원
42,우암동도시숲
43,장미원
44,대천공원
45,명지동근린공원
46,전포카페거리
47,수영사적공원
48,범어사
49,녹산고향동산
50,일광해수욕장
51,용호별빛공원
52,구포어린이교통공원
53,삼락강변체육공원
54,비석문화마을
55,대신공원
56,금강공원
57,울림공원
58,에덴공원
59,장안사
60,대저생태공원
61,주라지 신세계백화점센텀시티점
62,168계단
63,곰내연밭
64,유라리광장
65,맥도생태공원
66,백양산
67,서면젊음의거리
68,중앙공원
69,문현동곱창골목
70,광복로패션거리
71,부산역풍물거리
72,온천천카페거리
73,청학수변공원
74,소담공원
75,중앙공원
76,임랑해수욕장
77,공수 어촌체험마을
78,덕천동젊음의거리
79,UN조각공원
80,부산영화의거리
81,롯데월드 어드벤처 부산
82,광안해변공원
83,동백공원
84,아미산전망대
85,정거마을문화거리
86,팥빙수골목
87,북항문화공원1차개방구역
88,구덕문화공원
89,부평족발골목
90,봉산마을
91,강서낙동강변30리벚꽃길
92,해운대블루라인파크 미포정거장
93,올림픽공원
94,씨라이프부산아쿠아리움
95,동백섬
96,40계단거리
97,홍법사
98,금정산성광장
99,사라수변공원
100,웹툰이바구길
101,증산공원
102,닥밭골벽화마을
103,황령산레포츠공원
104,백운포체육공원
105,영도어울림문화공원
106,송도해상케이블카
107,키자니아 부산
108,화명생태공원
109,명지선창회타운
110,반송공원
111,화지공원
112,드라마[드림]세트장
113,연제문화체육공원
114,대항 어촌체험마을
115,구목정공원
116,송도구름산책로
117,을숙도생태공원낙동강하구에코센터
118,75광장
119,운수사
120,부산다이아몬드타워
121,봉래산
122,부산진성공원
123,해운대블루라인파크
124,서면향토음식특화거리
125,내원정사
126,이중섭거리
127,천마산조각공원
128,민락항
129,국립해양박물관
130,부산어린이대공원
131,남천해변공원
132,광안리해변테마거리
133,국립부산과학관
134,승학산
135,월드컵기념등대
136,감고개공원
137,자갈치시장하늘공원
138,문현동 안동네 벽화마을
139,통일아시아드공원
140,오륙도스카이워크
141,개금테마공원
142,젖병등대
143,수정산가족체육공원
144,명장공원
145,이기대자연마당
146,낙동제방벚꽃길
147,아홉산숲
148,회화나무샘터공원
149,명륜1번가
150,부산영화촬영스튜디오
151,가덕도등대
152,조내기고구마역사공원
153,신평레포츠공원
154,미포항
155,덕천생활체육공원
156,소두방공원
157,무제등소공원
158,달맞이동산
159,부산시민공원 하야리아잔디광장
160,영도등대
161,두실새싹공원
162,을숙도
163,해운대 이벤트광장
164,엑스스포츠광장
165,녹음광장
166,윤산
167,초록공원
168,초연근린공원
169,부산역광장
170,드라마[쌈마이웨이]촬영지
171,장산
172,솔밭예술마을
173,보람공원
174,부산엑스더스카이
175,부산대학교젊음의거리
176,오산공원
177,대저수문생태공원
178,동삼어촌체험마을
179,햇님공원
180,을숙도생태공원
181,놀이마당공원
