,장소
0,해동용궁사
1,감천문화마을
2,흰여울문화마을
3,부산민주공원
4,민락수변공원
5,스포원파크 금정체육공원
6,부산시민공원
7,다대포해변공원
8,이기대수변공원
9,비프광장
10,다대포 꿈의 낙조분수
11,광안리해수욕장
12,해물포장마차촌
13,해운대해수욕장
14,송상현광장
15,해운대
16,용두산공원
17,용소웰빙공원
18,암남공원
19,사상근린공원
20,평화공원
21,APEC나루공원
22,장림포구
23,죽성드림세트장
24,차이나타운
25,누리마루 APEC 하우스
26,다대포해수욕장
27,창선동 먹자골목
28,신평소공원
29,태종대
30,죽도공원
31,청사포
32,온천천시민공원
33,삼락생태공원
34,대변항
35,송도용궁구름다리
36,오륙도해맞이공원
37,강서체육공원
38,깡깡이예술마을
39,윗골공원
40,부산송도해수욕장
41,신호공원
42,우암동도시숲
43,대천공원
44,장미원
45,명지동근린공원
46,전포카페거리
47,범어사
48,수영사적공원
49,녹산고향동산
50,일광해수욕장
51,용호별빛공원
52,구포어린이교통공원
53,비석문화마을
54,삼락강변체육공원
55,대신공원
56,금강공원
57,에덴공원
58,울림공원
59,장안사
60,대저생태공원
61,주라지 신세계백화점센텀시티점
62,맥도생태공원
63,곰내연밭
64,백양산
65,168계단
66,유라리광장
67,문현동곱창골목
68,서면젊음의거리
69,중앙공원
70,광복로패션거리
71,온천천카페거리
72,청학수변공원
73,부산역풍물거리
74,중앙공원
75,소담공원
76,부산영화의거리
77,공수 어촌체험마을
78,임랑해수욕장
79,덕천동젊음의거리
80,UN조각공원
81,광안해변공원
82,롯데월드 어드벤처 부산
83,동백공원
84,아미산전망대
85,부평족발골목
86,강서낙동강변30리벚꽃길
87,팥빙수골목
88,북항문화공원1차개방구역
89,정거마을문화거리
90,구덕문화공원
91,씨라이프부산아쿠아리움
92,올림픽공원
93,해운대블루라인파크 미포정거장
94,사라수변공원
95,동백섬
96,봉산마을
97,황령산레포츠공원
98,40계단거리
99,영도어울림문화공원
