리뷰,평점
"감천문화마을에서 친구들과 여유롭게 다니면서 주말을 보냈다.
요즘처럼 우울한 시절에 칼라플한 마을의 독특한 느낌이 마음의 위로가 되었다. 마치 여행중 축제에서 만난 칼라플하고 독특한 느낌같이 비일상적이었다. 여기를 여행할 때는 꼭 좁은 뒷골목으로 다닐것을 추천하고 십다.",5.0
해질때쯤가면 아름다운 문화마을을 감상할수있어요 성수기에는 비추... 길이좁아서 사람들이 많으면북적어서 별로에요~ 비수기한적한해질시간에방문해보새요,5.0
"코로나로 많은 상점들이 휴점상태입니다.
여러가지 색깔의 집들이 아름답게 모여있는곳입니다.
연인,친구끼리 방문하기 좋은곳입니다.",5.0
"사람들이 살면서 정말 마을 같으면 좋을텐데, 보여주는 마을이 것 같아 아쉬운 마음이 들더군요. 하기야 살기에는 좀 불편할 것 같긴해요.",3.0
어린왕자 말고도 사진찍으면 이쁜 포토존 엄청 많아요 !! 그리고 예전의 풍경 그대로 간직하고 있기도해요. 다만 마을 안에 음식이나 간식들이 너무 비쌌어요 ㅜㅜ 언덕 엄청 높은 곳에 위치해있지만 버스타면 금방 갈 수 있습니당,5.0
"마을의 골목길안의 집들은 칼라플한
새단장을 하고 누군가를 기다리고 있다. 골목안 집들은 처음 본 방문자들에게 어서오라고 말을 건넨다.",5.0
오전에 일찍 가세요. 택시타고 가서 감천문화마을 입구에 내리니 9시 2분. 물론 너무 오전이라 상점들이 오픈전이라 썰렁했지만 포토스팟에서는 원없이 수십장씩 사진 찍었어요. 고래사어묵 하나씩 먹고 2번코스로 2시간 걸렸어요. 중간에 잘못빠져서 스팟하나 놓쳤지만 뭐 골목이니까 조용히 빠져나오다보니 합류했어요. 어린왕자는 필수인데 I♡감천 은 유튜브 부산홍보영상 보고서야 있는줄 알았네요. 어린왕자 에코백하나 샀는데 예쁩니당,4.0
"골목 골목마다 옛 정취를 그대로 느낄수 있어서 좋았어요. 아이들과 같이 걸으며 좋은 추억 만들고 왔어요.
부산 방문하시면 한번쯤 꼭 들러보시길",5.0
"그냥 알록달록한 달동네 아닌가 싶었지만 막상가보니 좋네요

외국인들을 제일 많이 봤던곳이 아닌가 싶어요.
한복체험도 많이 하고있구요, 어릴적 달동네감성을 만끽할수 있어서 좋았어요.
군데 군데 포토존이 매우 많습니다.
어린왕자와 여우랑 같이 찍으려먼 2~30분은 기다려야할듯.

이쁜상점들이 많아서 눈과 입이 즐겁구요, 바다와 함께 볼수있는 전망대에서도 인생사진을 건졌네요.

실제 거주하는 주민들이 많으니 오전9시이전이나 오후5시이후에는 가지 않는것이 좋습니다.

밀면집에서 밀면을 영어로 when you push라고 적어놓아서 한참 웃었네요. 사장님도 잘못된걸 알면서 그냥 웃으라고 놔뒀데요 ㅋ",4.0
"아기자기한 상점들과 건물뷰들을 보기좋습니다. 골목골목 돌아다니는 재미가 있습니다.
차를 가지고오셨스면 근처 초등학교를 임시주차장으로 쓰고있으니 거기에 세우시고 걸어가시면됩니다. 어린왕자와의 사진은...약 30분의 대기가 필요하니...음 저는 퍂스했습니다. 그외에도 그냥 뷰랑 찍어도 좋을것 같아요",4.0
70-80년대초 서울에서도 본듯한 느낌의 그곳. 초입에 박물관이 작은게 있어 이곳의 변화를 알수 있었지만 일부 전시물에 설명이 부족한 느낌이었다.,5.0
"입구가 두 곳인데, 본 입구 말고 좀 더 아래쪽 입구로 가시면 전경을 한 번 쭉 보고 가는거라 좋은 것 같아요. (물론 사진 스팟 이런곳은 위쪽입구이긴하지만요;) 진짜 사진찍기 좋은데 눈에 보이는것만큼 사진에 안담기는 것은 조금 아쉽네요. 친구와 가도 좋고 가족과 가도 좋습니다. 다만 주알에 가면 관광객들이 굉장히 많기때문에 어린아이와 간다면 주의하셔야할 것 같습니다. 추천합니다. 아 하늘공원인가에서 1년 뒤에 편지를 보내는 것을 하고 있었는데, 혼자서도 보내보고, 친구들이랑 가서도 보내봤는데(롤링페이퍼) 오글거리면서도 두근대더라구요. 한 번쯤은 해도 좋을 것 같습니다. :)",5.0
"비오는 날 가서 어두운 분위기가 나서 조금 안타까웠지만, 비오는 날에도 그만에 매력이 있는게 실내카페도 꽤 괜찮은 곳도 많고 사진관, 운세 뽑기처럼 소소한 놀거리가 있어서 반나절 가벼운 소풍처럼 가면 좋을것 같네요",4.0
사진 맛집입니다. 어린왕자와 사진 찍으려면 줄을 너무 많이 서야하 지만 그 근처 아무데나 카메라 대고 찍어도 정말 멋진 뷰가 담겨요,4.0
"꼭 안내센터에 들러서 지도를 2000원에 구입하신 후에 모든 도장을 찍어보시기 바랍니다. 관광객들이 주로 가는 위쪽 도로보다 안쪽으로 들어가서 계단을 오르내리며 골목길을 걸어다니는 느낌이 너무 좋았습니다. 8초짜리 동영상을 찍어서 넘겨 보는 사진첩을 만들어주는 가게도 좋았습니다.

경사진 곳에 지어진 오래된 건물들 중에서 실제로 사람들이 살고 있는 곳이 많지 않은 것이 아쉬웠습니다. 보전을 위해서는 살기에 나쁘지 않는 곳으로 개선될 지점이 있어보입니다.",4.0
