리뷰,평점
"자연경관보러 가기에 좋다. 풍광은 좋은 편이나, 나무에 가려진 곳이 많다. 등대나 전망대 쪽에서 보는 경관이 좋다.
많이 걸어다녀야 하며, 등대카페와 그 아래도 내려갈 수 있으므로 취향에 맞게 가면 좋다. 등대건물은 현재 코로나로 인해 입장할 수 없지만 그 옆의 휴게공간인 등대카페는 정상운영중이다. 바람이 꽤 부므로 주의.
개인적으로는 다누비 열차를 활용하는 것을 추천. 비수기의 다누비 배차간격은 20분정도. 자세한 것은 첨부사진 참조
도보로 일주시 등대와 명소들을 다 본다면 3시간은 걸릴 것이다.",4.0
"몸과마음이 상쾌해지는 느낌입니다.
코로나로 닫혀있던
태종대전망대 휴계소가 열렸습니다.
2층에는 새로만들어진 커피숖도 있습니다.
등대와 태종사와 함께어우러져
걷기에 정말 좋습니다.",5.0
"태종대 파도를 보고와야 부산에 다녀왔다고 할 것. 예전만큼의 감흥은 덜하지만, 부산을 처음 여행하는 사람들은 필수 코스임.",4.0
부산에 간다면 무조건 여기는 한바뀌 트레킹 하길 권한다. 절벽에서 보는 바다 경치가 정말 좋다. 시간적 여유가 있다면 윗길로 가서 도는 것이 좋을 것 같고. 없다면 아랫길로 가서 등대 쪽 전망대에서 경치보고 내려가서 배를 타고 이동해도 괜찮다.,5.0
"코로나로 태종대 부비열차도 중단되었지만
입장은 가능합니다.
오전방문하시면 한적하게 사람도 없고
좋습니다.
전망대매점과 입구매점은 코로나로 폐쇄가되었습니다.
자판기는 사용가능합니다.
자갈마당과 전망대 코스로해서 한바퀴 일주하는데 2시간정도 잡으시면됩니다.
전망대까지만 가시면 1시간 내외입니다.
입구에 유료주차장이 세군데있습니다.",5.0
"영도에서도 끝. 대한민국 동남쪽 끝.
분명 같은 시간 부산 시내는 맑은데 태종대는 앞이 안보일 정도로 안개가 자욱했다.
굉장히 신기한 곳이다.",5.0
"태종대 산책로를 천천히 걸어보세요.
밝은 햇살과 맑은 바다 공기.. 탁 트인 해안의 절경을 감상하며 40분 정도를 산책했습니다.
휴게소에서 차 한잔의 여유를 가지며 동행들과 행복한 시간을 보냈죠.",5.0
"경치도 좋고 산책하기도 좋은 곳입니다.
2년 만에 다시왔는데.. 여름 겨울 다 괜찮네요..
등대 전망이 좋고요..
전망대는 2019년 12월 기준 수리 중이네요..
빨리 보수가 되면 좋겠어요",5.0
영도의 끝자락에 위치해 각종 자연의 모습과 산책하고 걷기에 너무도 좋은 곳... 부산에 왔다면 한 번은 꼭 들러야하는 곳. 위쪽이 해운대라면 아래쪽은 당연히 태종대이지요..가족끼리 연인끼리 산책하며 걷기에 가장 좋은 곳입니다.,5.0
태종대에 올라가기위해 운영되고 있는 차 티켓을 구매한 후 차를 타고 올라가면 쉽고 편하게 올라 갈 수 있어서 좋았습니다 다만 정류장을 잘 몰라 놓칠 수 도 있으니 조심해야할 것 같습니다,4.0
다들 아는곳이죠 엄청유명합니다 매번갈때마다 사람이 엄청많습니다 부산처음가시는분들은 꼭 가는걸 추천합니다 대중교통타고서 가도 쉽게갈수있습니다,5.0
태종대도 부산의 관광 명소 중 하나이다. 등대도 있고 산책 및 등산을 겸할 수 있게 길이 닦여있다. 부산 중심가에서는 약간 거리가 있어서 시간을 여유롭게 잡고 체력을 안배하고 가면 좋을 곳이다. 바다와 접해 있어 바다 풍경을 볼 수 있는 곳이다.,3.0
뜻하지 않게 여러 번 갔지만 그 명성을 이해하기는 어려운 곳. 날 좋을 때 대마도를 볼 수 있고 등대가 있으며 산책하기에는 좋다. 다누비 열차를 타지 않는 경우 최소 한 시간 이상의 코스.,3.0
"부모님께서 태종대 올라 보고 싶어 하셔서 귀찮지만 따라 나섰습니다. 하지만 올라와보니 올라오길
잘했다는 생각이 들었어요 한 번쯤 올라가보세요 부산시내에서는 경험할 수 없는 풍경을 만나실 수 있습니다",5.0
부산에서 자갈치시장은 부산의 그 자체라고 할 수 있어요 많은 사람들이 자갈치 시장에 가서 사진만 찍는데 생선구이를 꼭 드세요,5.0
차를 타고 경치가 좋은 곳에 내려 사진 찍고 일몰을 구경했습니다. 절벽과 바다가 멋있습니다. 차 보다는 걸으면서 구경해야 좋은 곳입니다. 다음에 오면 차를 타지 않고 천천히 걸으면서 여유롭게 태종대 주변을 구경해 보고 싶네요.,3.0
"대한민국 어디를 가든 바다는 볼 수 있답니다. 그런데 해식 절벽의 독특한 아름다움과 울창한 숲, 맑은 바닷물은 태종대만의 고유한 분위기를 느끼게 합니다. 날씨가 맑은 날이면 이웃나라 일본의 대마도도 볼 수 있답니다.",5.0
6월 말에서 7월 초까지 태종사에서 수국축제를 합니다. 기대 이상으로 예뻐서 가볼만한 곳. 비가 오면 오히려 더 예쁜 것 같다는 생각이 듭니다.ㅎㅎ 다만 비가 오면 다누비 열차가 운행을 안 하니 주의.,4.0
"부산사람들이 영 아일랜드라고 부르는
영도구에 위치하고 있는 관광지입니다
자살바위라고 유명한 곳이있구요
입구쪽에는 횟집과 조개구이집이 유명합니다.
태종대를 둘러볼수있는 부비열차가
유료로 운행이되고있습니다.
가족단위,연인들이 즐겨찾는곳입니다
태종대유람선도 운행을 하고있으니
오륙도를 돌아볼수있는 경험을 체험하시기 바랍니다.",5.0
"6월 태종대 태종사 수국은 정말최고에요
오랫만에 간 태종대 절경도 역시나 멋지더라구요~
이른 아침 시간 안개와 함께하는
수국 최고최고",5.0
