,트립어드바이저장소,평점개수
0,168계단.pickle,3
1,40계단 문화관광테마거리.pickle,37
2,APEC나루공원.pickle,104
3,감천문화마을.pickle,725
4,광복로패션거리.pickle,90
5,광안리해수욕장.pickle,401
6,국립부산과학관.pickle,2
7,국립해양박물관.pickle,35
8,국제시장.pickle,125
9,금강공원.pickle,40
10,금정 산성.pickle,44
11,누리마루 APEC 하우스.pickle,73
12,다대포해수욕장.pickle,64
13,더베이101.pickle,66
14,동백섬.pickle,293
15,맥도생태공원.pickle,2
16,민락수변공원.pickle,48
17,범어사.pickle,246
18,부산 치유의 숲.pickle,2
19,부산광안대교.pickle,486
20,부산민주공원.pickle,16
21,부산송도해수욕장.pickle,107
22,부산시민공원.pickle,57
23,부산현대미술관.pickle,9
24,부평깡통시장.pickle,41
25,비석문화마을.pickle,1
26,비프광장.pickle,332
27,사상근린공원.pickle,3
28,삼락강변체육공원.pickle,9
29,삼락생태공원.pickle,6
30,송도용궁구름다리.pickle,2
31,송도해상케이블카.pickle,31
32,씨라이프부산아쿠아리움.pickle,221
33,아미산전망대.pickle,6
34,아홉산숲.pickle,4
35,암남공원.pickle,34
36,영도 등대.pickle,5
37,영도대교.pickle,48
38,오륙도 스카이워크.pickle,162
39,오륙도.pickle,58
40,온천천시민공원.pickle,8
41,용두산공원.pickle,234
42,이기대수변공원.pickle,109
43,임랑해수욕장.pickle,2
44,자갈치시장.pickle,346
45,장림포구.pickle,4
46,장산.pickle,23
47,장안사.pickle,3
48,전포카페거리.pickle,3
49,주라지 신세계백화점센텀시티점.pickle,145
50,죽성드림세트장.pickle,3
51,청사포.pickle,8
52,초량 이바구길.pickle,26
53,태종대.pickle,412
54,해동용궁사.pickle,754
55,해운대 달맞이길.pickle,154
56,해운대.pickle,1145
57,해운대블루라인파크 미포정거장.pickle,1
58,허심청.pickle,34
59,화명생태공원.pickle,2
60,황령산.pickle,25
61,회동수원지.pickle,5
62,흰여울문화마을.pickle,5
