리뷰,평점
"오랜만에 부산에 내려가서 해운대 요트투어를 하며 시간을 보냈어요.
근처에 미포철길도 있고 맛집도 많아서 휴가 가서 힐링하고 오기 좋은 바다였습니다.",5.0
"해운대 백사장에서 열리는 빛 축제가 인상적이었고 산책하기 좋았어요. 주변 맛집도 많고, 편의시설이 많이 있어서 편리했습니다.",5.0
매번 바다 보고 싶을때 ktx타고 방문합니다. 아침에 해운대 바다를 왕복으로 산책하면 운동도 되고 너무 좋아요. 주변에 맛집도 많아서 좋습니다.,5.0
"언제 보아도 아름다운 곳입니다.
낮보다밤이 아름다운곳입니다
주변에 동백섬과 달맞이길,문텐로드와
해변열차가 운행하고있습니다.
가족,연인,어느누구라도 방문해도 좋습니다.",5.0
"부산에 살아도 잘못오는데 오랜만의 여행
고층건물들이 즐비하게 야경이 매우 아름답고 좋네요
백사장이야 워낙 유명하니까 ~~~",5.0
부산의 모든 것이 모여 있다고 해도 과언이 아닐 것. 부산 여행의 출발점이자 끝. 항상 활기가 넘치고 살아 있는 곳. 그 느낌만으로도 좋은 곳,4.0
"해운대는 부산여행하면 빠질수없는곳
낮에도 예쁘지만 밤에 보면 주변 건물과 바다를
보는 풍경이 너무예쁜곳인듯합니다.",5.0
"오랜만에 놀라왔는데 놀기도 좋고 바닷가 걷기도 딱 좋은 날씨에요 밖에서 맥주한잔하기
정말 좋은곳이에요
맛집도 많아서 좋아요!",4.0
"아름다운 곳 해운대 마음이 편안하곳 해운대 사람이 많이 없어 당일 여행에 아주 만족했다.
둘레길도 좋고 주변 환경도 좋았다",4.0
"한국뿐만 아니라 전세계에서도 유명한 대표적인 해수욕장입니다.
드넓은 백사장과 야간뷰,산책코스등등
연인,친구,가족끼리 쉽게 방문하기좋은곳입니다.",5.0
"용궁사 마린시티야경 광안대교
동백섬 해운대해수욕장 신세계백화점 등
유명한 관광지가 모여 있는곳
관광지답게 유명한 맛집들이 즐비하게
많은곳 특히 돼지국밥맛집이 많아서
국밥마니아인 나로서는 행복한 도시",5.0
좋아요 주차문제 빼곤... 하나씩 가게들이 들어서고 있네요 젊은 커플들이 좋아할 것 같아요 약간 시골틱도 하고 친숙하면서도 정감있는 느낌이네요,5.0
"예전보다 모래사장이 많이 사라진게 안타깝다.
5월에는 모래성도 쌓아서 조각을 한다.
관광지라 그런지 주변에는 프랜차이즈 음식점도 많음.",4.0
해운대에요즘해리단길이새로생겨서가봣다.엣건물들을카페로개조해서만든골목인데.새로웟다.어릴때기억도생각나고.음식도맛낫다.반전의골목?ㅎㅎ.바다도보고.여기도듷려보면좋을듯싶다.,5.0
엄마랑 생일이 같아서 부산여행 계획을 잡았는데 숙소를 어디 잡을지 고민하다가 해운대 신라스테이로 결정을했습니다. 도착해서 체크인할때 생일이라고 방도 업그레이드해주시고 선물도 주시고 직원분들도 너무 친절하셔서 기분좋게 보냈습니다~~!!,5.0
"7남매의 설 모임을 올해는 해운대 한화콘도 1박2일을 했다.
비바람 부는 아침의 해운대 바다--
언니의 모자가 바람에 날라갔지만
그래도 겨울바다는 낭만적이다.",5.0
"몇년째 해운대를 계속 여행하는데 이번엔 중국 사람들이 너무 많았어요. 빛 축제를 한다는데 이게 밤에는 그나마 나은데 낮에보면 정말 미관을 해쳐요. 밤에도 우와할 정도로 이쁘지도 않고, 통로를 너무 좁게 해놔서 연휴기간때는 들어가는 것도 포토스팟에서 빠져나오는 것도 힘들어 보이고 시기가 시기인지라 중국 사람들 너무 많고 한군데 몰리게 되서 위험해보여서 안쪽으로 들어가진 않았어요 . 바닷가쪽 들어가기만 힘들고 진짜 너무 조잡해보여요",1.0
"부산 애서 가장 유명한 해수욕장 이면서 관광지 입니다. 해안을 따라 호텔들과 래스토랑, 카페, 식당 둘과 술집 등의 상권이 아주 잘 발달되어 있습니다.",5.0
너무 좋은 곳 여름에는 사람들로 북적이고 겨울에는 따뜻한 야경을 보고 싶으시면 해운대로 오십시오! 환상적이고 너무 좋습니다.,5.0
